tconst,primaryTitle,originalTitle,startYear,decade,runtimeMinutes,primaryGenre,genres,averageRating,numVotes,ratingCategory,popularityTier,hasDirector,directors,writers
tt0165832,Interstate 60,Interstate 60: Episodes of the Road,2002.0,2000.0,116,Adventure,"Adventure,Comedy,Drama",7.5,40559,Good (7.0-7.9),Popular (10K-50K),True,nm0301826,nm0301826
tt0165928,Revenge,Revenge,2000.0,2000.0,94,Thriller,Thriller,4.5,272,Poor (<5.0),Niche (<1K),True,nm0340244,"nm0325282,nm0498455"
tt0165929,Romeo Must Die,Romeo Must Die,2000.0,2000.0,115,Action,"Action,Crime,Thriller",6.1,76926,Average (6.0-6.9),Major (50K-100K),True,nm0005647,"nm0438449,nm0077171,nm0418904"
tt0165982,Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas,2003.0,2000.0,86,Adventure,"Adventure,Animation,Comedy",6.8,63881,Average (6.0-6.9),Major (50K-100K),True,"nm1369708,nm0426333",nm0517589
tt0166013,When the Sky Falls,When the Sky Falls,2000.0,2000.0,107,Biography,"Biography,Crime,Drama",6.4,808,Average (6.0-6.9),Niche (<1K),True,nm0533334,"nm0028672,nm0302483,nm0564847,nm0792225"
tt0166110,Bones,Bones,2001.0,2000.0,96,Crime,"Crime,Fantasy,Horror",4.5,8806,Poor (<5.0),Known (1K-10K),True,nm0225416,"nm0800048,nm0582481"
tt0166158,Daddy and Them,Daddy and Them,2001.0,2000.0,101,Comedy,"Comedy,Drama",5.7,2704,Below Average (5.0-5.9),Known (1K-10K),True,nm0000671,nm0000671
tt0166192,Finding Kelly,Finding Kelly,2000.0,2000.0,88,Comedy,"Comedy,Family,Mystery",5.8,226,Below Average (5.0-5.9),Niche (<1K),True,nm0359087,"nm1063135,nm1062661"
tt0166276,Monkeybone,Monkeybone,2001.0,2000.0,93,Comedy,"Comedy,Fantasy",4.8,20227,Poor (<5.0),Popular (10K-50K),True,nm0783139,"nm0085718,nm0358334"
tt0166370,Subconscious Cruelty,Subconscious Cruelty,2000.0,2000.0,92,Fantasy,"Fantasy,Horror",4.8,2242,Poor (<5.0),Known (1K-10K),True,nm0403963,nm0403963
tt0166709,Posthumous Memories,Memórias Póstumas de Brás Cubas,2001.0,2000.0,101,Comedy,"Comedy,Drama",6.9,1030,Average (6.0-6.9),Known (1K-10K),True,nm0460127,"nm0460127,nm0867950,nm0207162"
tt0166813,Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron,2002.0,2000.0,83,Adventure,"Adventure,Animation,Drama",7.2,94094,Good (7.0-7.9),Major (50K-100K),True,"nm0038432,nm0177170",nm0299301
tt0166871,Viúva Rica Solteira Não Fica,Viúva Rica Solteira Não Fica,2006.0,2000.0,135,Comedy,"Comedy,Drama",6.7,148,Average (6.0-6.9),Niche (<1K),True,nm0284642,"nm1590987,nm0266780,nm0284642,nm1805344,nm2101630,nm1329744"
tt0166924,Mulholland Drive,Mulholland Dr.,2001.0,2000.0,147,Drama,"Drama,Mystery,Thriller",7.9,425267,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0000186,nm0000186
tt0167116,Desert Saints,Desert Saints,2002.0,2000.0,88,Action,"Action,Romance,Thriller",6.0,3616,Average (6.0-6.9),Known (1K-10K),True,nm0338575,"nm0338575,nm0629755"
tt0167183,The Girls' Room,The Girls' Room,2000.0,2000.0,101,Comedy,"Comedy,Drama",4.9,231,Poor (<5.0),Niche (<1K),True,nm0877596,nm0063686
tt0167190,Hellboy,Hellboy,2004.0,2000.0,122,Action,"Action,Adventure,Fantasy",6.9,369279,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0868219,"nm0868219,nm1486009,nm0586005"
tt0167203,I Dreamed of Africa,I Dreamed of Africa,2000.0,2000.0,114,Adventure,"Adventure,Biography,Drama",5.6,5113,Below Average (5.0-5.9),Known (1K-10K),True,nm0399853,"nm0302990,nm0590360,nm0793463"
tt0167260,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003.0,2000.0,201,Adventure,"Adventure,Drama,Fantasy",9.0,2150982,Excellent (8.0+),Blockbuster (100K+ votes),True,nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392"
tt0167261,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002.0,2000.0,179,Adventure,"Adventure,Drama,Fantasy",8.8,1943890,Excellent (8.0+),Blockbuster (100K+ votes),True,nm0001392,"nm0866058,nm0909638,nm0101991,nm0801728,nm0001392"
tt0167360,Race to Space,Race to Space,2001.0,2000.0,104,Drama,"Drama,Family",5.4,1022,Below Average (5.0-5.9),Known (1K-10K),True,nm0573732,"nm10996729,nm0934178"
tt0167380,The Captain's Daughter,Russkiy bunt,2000.0,2000.0,130,Drama,"Drama,History,Romance",6.5,399,Average (6.0-6.9),Niche (<1K),True,nm0698742,"nm0701090,nm0033472,nm0332892,nm0955575"
tt0167456,Thunderbirds,Thunderbirds,2004.0,2000.0,95,Action,"Action,Adventure,Comedy",4.3,15081,Poor (<5.0),Popular (10K-50K),True,nm0000408,"nm0026755,nm0027487,nm0382072,nm0651758,nm0567112"
tt0168446,Aberdeen,Aberdeen,2000.0,2000.0,106,Drama,Drama,7.1,3672,Good (7.0-7.9),Known (1K-10K),True,nm0596407,"nm0596407,nm0025463,nm0526478"
tt0168504,A Better Way to Die,A Better Way to Die,2000.0,2000.0,101,Action,"Action,Comedy,Crime",5.6,1903,Below Average (5.0-5.9),Known (1K-10K),True,nm0007045,nm0007045
tt0168515,Bittersweet Motel,Bittersweet Motel,2000.0,2000.0,82,Documentary,"Documentary,Music",7.7,824,Good (7.0-7.9),Niche (<1K),True,nm0680846,
tt0168578,"Chicks, Man","Chicks, Man",2000.0,2000.0,93,Comedy,"Comedy,Romance",4.7,149,Poor (<5.0),Niche (<1K),True,nm0905684,nm0905684
tt0168612,The Playaz Court,The Playaz Court,2000.0,2000.0,97,Crime,"Crime,Drama,Mystery",5.2,169,Below Average (5.0-5.9),Niche (<1K),True,nm0604694,nm0168228
tt0168629,Dancer in the Dark,Dancer in the Dark,2000.0,2000.0,135,Crime,"Crime,Drama,Musical",7.9,123417,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0001885,"nm0001885,nm0797604"
tt0168631,Innocents,Dark Summer,2000.0,2000.0,90,Crime,"Crime,Drama,Thriller",4.7,661,Poor (<5.0),Niche (<1K),True,nm0549820,nm0549820
tt0168786,Antwone Fisher,Antwone Fisher,2002.0,2000.0,120,Biography,"Biography,Drama",7.3,40583,Good (7.0-7.9),Popular (10K-50K),True,nm0000243,nm0279376
